,station_name,station_latitude,station_longitude,fsq_id,poi_name,poi_id,poi_category,poi_distance
0,10th & Cambie,49.262487,-123.114397,4fd3a01be4b0540d9cb027ea,Moii Cafe,13034,Café,57
1,10th & Cambie,49.262487,-123.114397,5d2843a1c56f480023f8e4cd,Jugo Juice,13003,Bar,40
2,10th & Cambie,49.262487,-123.114397,4b1db335f964a520211424e3,Marulilu Cafe,13034,Café,96
3,10th & Cambie,49.262487,-123.114397,4ab04bfaf964a520ed6620e3,Peaceful Restaurant,13106,Dim Sum Restaurant,136
4,10th & Cambie,49.262487,-123.114397,593c332b16fa0435e42fb0d5,A&W Restaurant,13068,American Restaurant,93
5,10th & Cambie,49.262487,-123.114397,6358892bb16a5020d2d4f758,Jolibee,13145,Fast Food Restaurant,77
6,10th & Cambie,49.262487,-123.114397,4e223f06d4c0d32590f80ff4,La Taqueria Pinche Taco Shop,13306,Taco Restaurant,164
7,10th & Cambie,49.262487,-123.114397,59fb62fa5f68b91e73eb36c9,Chipotle Mexican Grill,13145,Fast Food Restaurant,129
8,10th & Cambie,49.262487,-123.114397,63560d0518f2d50e9c6b4717,Jollibee Broadway & Cambie,13055,Fried Chicken Joint,83
9,10th & Cambie,49.262487,-123.114397,506241a2e4b061897f154545,Pho Extreme Xe Lua,13379,Vietnamese Restaurant,95
10,10th & Cambie,49.262487,-123.114397,5a62b29f97cf5a4b8ccfc632,Uma Sushi,13276,Sushi Restaurant,158
11,10th & Cambie,49.262487,-123.114397,4aa73d25f964a520704c20e3,Whole Foods,17069,Grocery Store / Supermarket,182
12,10th & Cambie,49.262487,-123.114397,4c880321a0ffb60c66a51ec5,Subway,13039,Deli,109
13,10th & Cambie,49.262487,-123.114397,4d1d44f916cfb60c4af83d61,Marble Slab Creamery,13046,Ice Cream Parlor,166
14,10th & Cambie,49.262487,-123.114397,5d0302c9c0f163002ce055ae,Saku Broadway,13263,Japanese Restaurant,175
