,station_name,station_latitude,station_longitude,yelp_id,poi_name,poi_title,poi_rating,poi_review_count,poi_price,poi_distance
0,10th & Cambie,49.262487,-123.114397,6iOAgzJ0DRZNSKA3FSrrOg,La Taqueria Pinche Taco Shop,Mexican,4.0,679,2,169.51745604912014
1,10th & Cambie,49.262487,-123.114397,NensKn1MSVU_rm-1Y6WlFA,Marulilu Cafe,Cafes,4.0,283,2,102.3298169925688
2,10th & Cambie,49.262487,-123.114397,AEOyRbQtYD3bmX1qJWvt4g,Peaceful Restaurant,Chinese,3.5,619,2,146.41800874604075
3,10th & Cambie,49.262487,-123.114397,XAH2HpuUUtu7CUO26pbs4w,Saku,Japanese,4.0,197,2,176.44461003943147
4,10th & Cambie,49.262487,-123.114397,nkDZY5xqihF3XtZMzzfqqg,Hokkaido Ramen Santouka,Noodles,4.0,220,2,191.04423406538024
5,10th & Cambie,49.262487,-123.114397,4118Aq9LbkvUr4s719uUkA,Uma Sushi,Japanese,4.5,109,3,152.15789734503988
6,10th & Cambie,49.262487,-123.114397,bJKqZi70hu8g_ctZAAxtJw,Yolks,Coffee & Tea,3.5,343,2,170.3240366141957
7,10th & Cambie,49.262487,-123.114397,mvCO6pRpfMB0_1GLlwgZRw,Sushi California,Japanese,3.5,314,2,143.49216961439387
8,10th & Cambie,49.262487,-123.114397,qebPYEXBp8Zo_d7GY50i2w,Westcoast Poke,Hawaiian,4.0,170,2,182.23995143895965
9,10th & Cambie,49.262487,-123.114397,X-73k3cwBjjc170MOdPa7A,Elysian Coffee,Coffee & Tea,3.5,208,2,221.08064577489418
10,10th & Cambie,49.262487,-123.114397,gdSAYWUI2MTgrk08r_OZSg,Heritage Asian Eatery,Pan Asian,4.0,87,2,152.16830796850962
11,10th & Cambie,49.262487,-123.114397,oHYOa9l5aLOQpJ8dF6sDmA,Menya Raizo,Ramen,4.0,71,2,133.67867312458677
